date,team1,team2,result
04.06. 21:00,France,Scotland,3 : 0
04.06. 20:45,Slovakia,Northern Ireland,0 : 0
04.06. 20:30,Austria,Netherlands,0 : 2
04.06. 20:15,Croatia,San Marino,10 : 0
04.06. 19:30,Ivory Coast,Gabon,2 : 1
04.06. 18:00,Germany,Hungary,2 : 0
04.06. 12:00,Australia,Greece,1 : 0
04.06. 11:00,Nigeria U23,Denmark U23,2 : 6
04.06. 06:30,South Korea U23,Honduras U23,2 : 2
03.06. 20:30,Albania,Ukraine,1 : 3
03.06. 20:00,Kosovo,Faroe Islands,2 : 0
03.06. 20:00,Romania,Georgia,5 : 1
03.06. 19:00,Canada,Azerbaijan,1 : 1
03.06. 18:00,Switzerland,Moldova,2 : 1
03.06. 16:00,Azerbaijan U21,Bosnia & Herzegovina U21,0 : 0
03.06. 14:45,Malaysia U21,Singapore U21,3 : 0
03.06. 13:35,China,Trinidad & Tobago,4 : 2
03.06. 13:30,Myanmar,Singapore,0 : 1
03.06. 12:00,South Korea U18,England U18,2 : 0
03.06. 10:45,Thailand U21,Vietnam U21,2 : 0
03.06. 10:30,Vietnam,Hong Kong,2 : 2
02.06. 21:00,Italy U21,France U21,0 : 1
02.06. 20:45,England,Portugal,1 : 0
02.06. 20:30,Uruguay U20,Chile U20,2 : 2
02.06. 19:00,FYR Macedonia,Iran,1 : 3
02.06. 17:00,Ukraine U21,Austria U21,1 : 1
02.06. 16:30,Cyprus U21,Bulgaria U21,3 : 0
02.06. 16:00,Georgia U18,Ukraine U18,2 : 1
02.06. 16:00,Slovakia U18,Armenia U18,4 : 2
02.06. 14:00,Israel U21,Serbia U21,3 : 2
02.06. 13:00,South Korea U23,Nigeria U23,1 : 0
02.06. 05:00,El Salvador,Armenia,0 : 4
02.06. 04:00,Mexico,Chile,1 : 0
02.06. 02:30,Guatemala,Venezuela,1 : 1
01.06. 20:45,Belgium,Finland,1 : 1
01.06. 20:45,Poland,Netherlands,1 : 2
01.06. 19:45,Norway,Iceland,3 : 2
01.06. 18:00,Estonia,Andorra,2 : 0
01.06. 18:00,Russia,Czech Republic,1 : 2
01.06. 18:00,Slovakia U21,Ukraine U20,1 : 1
01.06. 17:30,FYR Macedonia U21,Belarus U21,1 : 1
01.06. 16:30,Spain,South Korea,6 : 1
01.06. 10:30,FYR Macedonia U18,Azerbaijan U18,2 : 0
31.05. 20:45,Ireland,Belarus,1 : 2
31.05. 20:30,Austria,Malta,2 : 1
31.05. 20:30,Uruguay U20,Chile U20,3 : 0
31.05. 20:15,Serbia,Israel,3 : 1
31.05. 19:00,Luxembourg,Nigeria,1 : 3
31.05. 17:00,Slovakia U18,Armenia U18,1 : 0
31.05. 17:00,Ukraine U21,Israel U21,1 : 1
31.05. 16:00,Slovenia U21,Azerbaijan U21,1 : 2
31.05. 15:00,Kenya,Sudan,1 : 1
31.05. 15:00,Zimbabwe,Uganda,2 : 0
31.05. 14:00,Serbia U21,Austria U21,3 : 1
31.05. 13:00,Vietnam,Syria,2 : 0
30.05. 21:00,France,Cameroon,3 : 2
30.05. 19:30,Sweden,Slovenia,0 : 0
30.05. 03:30,Panama,Brazil,0 : 2
29.05. 23:00,Colombia,Haiti,3 : 1
29.05. 21:45,Portugal,Norway,3 : 0
29.05. 20:45,Italy,Scotland,1 : 0
29.05. 19:45,Turkey,Montenegro,1 : 0
29.05. 19:30,Romania,Ukraine,3 : 4
29.05. 18:00,Spain,Bosnia & Herzegovina,3 : 1
29.05. 17:45,Germany,Slovakia,3 : 1
29.05. 17:30,Albania,Qatar,3 : 1
29.05. 17:00,FYR Macedonia,Azerbaijan,3 : 1
29.05. 15:00,Kenya,Tanzania,1 : 1
29.05. 04:30,Guatemala,Armenia,1 : 7
29.05. 02:00,Peru,El Salvador,3 : 1
29.05. 02:00,USA,Bolivia,4 : 0
28.05. 23:30,Mexico,Paraguay,1 : 0
28.05. 16:30,Gabon,Mauritania,0 : 2
28.05. 16:15,Switzerland,Belgium,1 : 2
28.05. 16:00,Slovenia U21,Azerbaijan U21,4 : 1
28.05. 15:30,Rwanda,Senegal,0 : 2
28.05. 13:30,Myanmar,Malaysia,0 : 0
28.05. 04:00,Costa Rica,Venezuela,2 : 1
28.05. 01:30,Chile,Jamaica,1 : 2
28.05. 01:00,Argentina,Honduras,1 : 0
28.05. 01:00,Uruguay,Trinidad & Tobago,3 : 1
27.05. 20:45,England,Australia,2 : 1
27.05. 20:45,Ireland,Netherlands,1 : 1
27.05. 20:45,Northern Ireland,Belarus,3 : 0
27.05. 20:30,Croatia,Moldova,1 : 0
27.05. 20:00,Morocco,Congo,2 : 0
27.05. 19:00,Nigeria,Mali,1 : 0
27.05. 18:00,Czech Republic,Malta,6 : 0
27.05. 18:00,Togo,Zambia,1 : 0
27.05. 17:30,Slovakia,Georgia,3 : 1
26.05. 18:00,Azerbaijan,Andorra,0 : 0
26.05. 02:00,USA,Ecuador,1 : 0
25.05. 20:00,D.R. Congo,Romania,1 : 1
25.05. 17:00,Serbia,Cyprus,2 : 1
25.05. 03:30,Panama,Venezuela,0 : 0
24.05. 03:30,Peru,Trinidad & Tobago,4 : 0
23.05. 18:00,Czech Republic U21,Albania U21,1 : 1
22.05. 18:15,England,Turkey,2 : 1
22.05. 18:00,Puerto Rico,USA,1 : 3
20.05. 18:00,Hungary,Ivory Coast,0 : 0
20.05. 13:00,South Korea U19,France U19,1 : 0
11.05. 11:00,Germany U18,Ireland U18,2 : 2
06.05. 10:00,Slovakia U16,Ireland U16,0 : 2
04.05. 13:30,Hungary U16,Slovakia U16,3 : 0
02.05. 10:00,Austria U16,Slovakia U16,1 : 2
27.04. 16:00,Czech Republic U20,Slovakia U20,0 : 2
27.04. 15:00,Switzerland U19,Luxembourg U19,2 : 0
27.04. 14:00,Italy U20,Denmark U20,2 : 0
21.04. 16:30,Montenegro U19,Ukraine U18,0 : 2
19.04. 17:00,Spain U17,Costa Rica U17,4 : 1
19.04. 16:30,Montenegro U19,Ukraine U19,2 : 0
14.04. 13:00,Czech Republic U17,Belgium U17,1 : 1
14.04. 12:00,Slovakia U18,Slovenia U18,2 : 1
13.04. 15:00,Italy U18,France U18,1 : 2
12.04. 16:00,Slovakia U18,Slovenia U18,0 : 2
29.03. 21:00,England,Netherlands,1 : 2
29.03. 21:00,France,Russia,4 : 2
29.03. 21:00,Scotland,Denmark,1 : 0
29.03. 20:45,Germany,Italy,4 : 1
29.03. 20:45,Ireland,Slovakia,2 : 2
29.03. 20:45,Portugal,Belgium,2 : 1
29.03. 20:30,Austria,Turkey,1 : 2
29.03. 20:30,Sweden,Czech Republic,1 : 1
29.03. 20:30,Switzerland,Bosnia & Herzegovina,0 : 2
29.03. 20:15,Luxembourg,Albania,0 : 2
29.03. 20:00,Gibraltar,Latvia,0 : 5
29.03. 20:00,Norway,Finland,2 : 0
29.03. 19:30,Greece,Iceland,2 : 3
29.03. 19:00,FYR Macedonia,Bulgaria,0 : 2
29.03. 19:00,Georgia,Kazakhstan,1 : 1
29.03. 18:00,Estonia,Serbia,0 : 1
29.03. 18:00,Montenegro,Belarus,0 : 0
29.03. 14:45,Malaysia,Macau,0 : 0
29.03. 12:00,Germany U19,South Korea U19,1 : 0
28.03. 20:45,Northern Ireland,Slovenia,1 : 0
28.03. 20:30,Spain U21,Norway U21,1 : 0
28.03. 20:00,Ukraine,Wales,1 : 0
28.03. 19:00,Liechtenstein,Faroe Islands,2 : 3
28.03. 18:30,Netherlands U21,Serbia U21,1 : 0
28.03. 18:30,Sierra Leone,Gabon,1 : 0
28.03. 17:00,Andorra,Moldova,0 : 1
27.03. 23:30,Brazil U23,South Africa U23,3 : 1
27.03. 20:45,Romania,Spain,0 : 0
27.03. 17:00,England U20,Canada U20,1 : 2
27.03. 15:00,FYR Macedonia U18,Finland U18,2 : 2
27.03. 14:30,Thailand,South Korea,0 : 1
27.03. 14:00,Latvia U18,Norway U18,0 : 3
27.03. 12:00,Estonia U19,Lithuania U19,0 : 1
27.03. 10:00,Ukraine U18,Poland U18,1 : 0
27.03. 05:00,Solomon Islands,Papua New Guinea,1 : 2
26.03. 20:45,Germany,England,2 : 3
26.03. 18:00,Hungary,Croatia,1 : 1
26.03. 17:30,Austria,Albania,2 : 1
26.03. 17:30,Poland,Finland,5 : 0
26.03. 17:00,Russia,Lithuania,3 : 0
26.03. 16:00,Azerbaijan,Kazakhstan,0 : 1
26.03. 16:00,Switzerland U20,Germany U20,1 : 1
26.03. 14:00,Norway U18,Poland U18,1 : 1
26.03. 14:00,Poland U21,Belarus U21,3 : 0
26.03. 05:00,Vanuatu,New Caledonia,2 : 1
25.03. 21:45,Portugal,Bulgaria,0 : 1
25.03. 20:45,Ireland,Switzerland,1 : 0
25.03. 20:45,Netherlands,France,2 : 3
25.03. 20:30,Slovakia,Latvia,0 : 0
25.03. 20:15,Luxembourg,Bosnia & Herzegovina,0 : 3
25.03. 18:30,Netherlands U21,Norway U21,1 : 0
25.03. 16:00,Armenia,Belarus,0 : 0
25.03. 15:30,Gabon,Sierra Leone,2 : 1
25.03. 12:00,Estonia U19,Lithuania U19,1 : 1
24.03. 20:45,Czech Republic,Scotland,0 : 1
24.03. 20:45,Italy,Spain,1 : 1
24.03. 20:45,Wales,Northern Ireland,1 : 1
24.03. 20:00,Denmark,Iceland,2 : 1
24.03. 20:00,Ukraine,Cyprus,1 : 0
24.03. 19:45,Turkey,Sweden,2 : 1
24.03. 19:00,Greece,Montenegro,2 : 1
24.03. 18:00,Estonia,Norway,0 : 0
24.03. 16:00,Portugal U20,Netherlands U20,1 : 1
24.03. 15:00,Austria U21,Ukraine U21,0 : 1
24.03. 15:00,Malta,Moldova,0 : 0
24.03. 12:45,Singapore,Myanmar,2 : 1
24.03. 12:00,Paraguay U20,Uruguay U20,2 : 2
