date,team1,team2,result
17.11. 20:45,Denmark,Sweden,2 : 2
17.11. 20:45,Slovenia,Ukraine,1 : 1
16.11. 20:45,Ireland,Bosnia & Herzegovina,2 : 0
15.11. 20:45,Hungary,Norway,2 : 1
14.11. 20:45,Sweden,Denmark,2 : 1
14.11. 18:00,Ukraine,Slovenia,2 : 0
13.11. 20:45,Bosnia & Herzegovina,Ireland,1 : 1
12.11. 20:45,Norway,Hungary,0 : 1
13.10. 20:45,Belgium,Israel,3 : 1
13.10. 20:45,Bulgaria,Azerbaijan,2 : 0
13.10. 20:45,Cyprus,Bosnia & Herzegovina,2 : 3
13.10. 20:45,Italy,Norway,2 : 1
13.10. 20:45,Latvia,Kazakhstan,0 : 1
13.10. 20:45,Malta,Croatia,0 : 1
13.10. 20:45,Netherlands,Czech Republic,2 : 3
13.10. 20:45,Turkey,Iceland,1 : 0
13.10. 20:45,Wales,Andorra,2 : 0
12.10. 20:45,Belarus,FYR Macedonia,0 : 0
12.10. 20:45,Estonia,Switzerland,0 : 1
12.10. 20:45,Lithuania,England,0 : 3
12.10. 20:45,Luxembourg,Slovakia,2 : 4
12.10. 20:45,San Marino,Slovenia,0 : 2
12.10. 20:45,Ukraine,Spain,0 : 1
12.10. 18:00,Austria,Liechtenstein,3 : 0
12.10. 18:00,Russia,Montenegro,2 : 0
12.10. 18:00,Sweden,Moldova,2 : 0
11.10. 20:45,Germany,Georgia,2 : 1
11.10. 20:45,Gibraltar,Scotland,0 : 6
11.10. 20:45,Poland,Ireland,2 : 1
11.10. 18:00,Armenia,Albania,0 : 3
11.10. 18:00,Faroe Islands,Romania,0 : 3
11.10. 18:00,Finland,Northern Ireland,1 : 1
11.10. 18:00,Greece,Hungary,4 : 3
11.10. 18:00,Serbia,Portugal,1 : 2
10.10. 20:45,Andorra,Belgium,1 : 4
10.10. 20:45,Bosnia & Herzegovina,Wales,2 : 0
10.10. 20:45,Croatia,Bulgaria,3 : 0
10.10. 20:45,Czech Republic,Turkey,0 : 2
10.10. 20:45,Israel,Cyprus,1 : 2
10.10. 18:00,Azerbaijan,Italy,1 : 3
10.10. 18:00,Iceland,Latvia,2 : 2
10.10. 18:00,Kazakhstan,Netherlands,1 : 2
10.10. 18:00,Norway,Malta,2 : 0
09.10. 20:45,England,Estonia,2 : 0
09.10. 20:45,FYR Macedonia,Ukraine,0 : 2
09.10. 20:45,Liechtenstein,Sweden,0 : 2
09.10. 20:45,Moldova,Russia,1 : 2
09.10. 20:45,Montenegro,Austria,2 : 3
09.10. 20:45,Slovakia,Belarus,0 : 1
09.10. 20:45,Slovenia,Lithuania,1 : 1
09.10. 20:45,Spain,Luxembourg,4 : 0
09.10. 20:45,Switzerland,San Marino,7 : 0
08.10. 20:45,Albania,Serbia,0 : 2
08.10. 20:45,Hungary,Faroe Islands,2 : 1
08.10. 20:45,Ireland,Germany,1 : 0
08.10. 20:45,Northern Ireland,Greece,3 : 1
08.10. 20:45,Portugal,Denmark,1 : 0
08.10. 20:45,Romania,Finland,1 : 1
08.10. 20:45,Scotland,Poland,2 : 2
08.10. 18:00,Georgia,Gibraltar,4 : 0
08.09. 20:45,Belarus,Luxembourg,2 : 0
08.09. 20:45,England,Switzerland,2 : 0
08.09. 20:45,FYR Macedonia,Spain,0 : 1
08.09. 20:45,Liechtenstein,Russia,0 : 7
08.09. 20:45,Lithuania,San Marino,2 : 1
08.09. 20:45,Moldova,Montenegro,0 : 2
08.09. 20:45,Slovakia,Ukraine,0 : 0
08.09. 20:45,Slovenia,Estonia,1 : 0
08.09. 20:45,Sweden,Austria,1 : 4
07.09. 20:45,Albania,Portugal,0 : 1
07.09. 20:45,Finland,Faroe Islands,1 : 0
07.09. 20:45,Ireland,Georgia,1 : 0
07.09. 20:45,Northern Ireland,Hungary,1 : 1
07.09. 20:45,Poland,Gibraltar,8 : 1
07.09. 20:45,Romania,Greece,0 : 0
07.09. 20:45,Scotland,Germany,2 : 3
07.09. 18:00,Armenia,Denmark,0 : 0
06.09. 20:45,Bosnia & Herzegovina,Andorra,3 : 0
06.09. 20:45,Cyprus,Belgium,0 : 1
06.09. 20:45,Iceland,Kazakhstan,0 : 0
06.09. 20:45,Italy,Bulgaria,1 : 0
06.09. 18:00,Latvia,Czech Republic,1 : 2
06.09. 18:00,Malta,Azerbaijan,2 : 2
06.09. 18:00,Norway,Croatia,2 : 0
06.09. 18:00,Turkey,Netherlands,3 : 0
06.09. 18:00,Wales,Israel,0 : 0
05.09. 20:45,Austria,Moldova,1 : 0
