date,location,code1,team1,code2,team2,goals1,goals2
2009-04-01,Oslo,nor,Norway,fin,Finland,3,2
2009-04-01,Saida,lib,Lebanon,nam,Namibia,1,1
2009-04-01,Belgrade,srb,Serbia,swe,Sweden,2,0
2009-04-01,Tehran,irn,Iran,sen,Senegal,1,1
2009-04-01,Maseru,les,Lesotho,bot,Botswana,0,0
2009-04-01,La Paz,bol,Bolivia,arg,Argentina,6,1
2009-04-01,Quito,ecu,Ecuador,par,Paraguay,1,1
2009-04-01,Riffa,bhr,Bahrain,qat,Qatar,1,0
2009-04-01,Sofia,bul,Bulgaria,cyp,Cyprus,2,0
2009-04-01,Tallinn,est,Estonia,arm,Armenia,1,0
2009-04-01,Riga,lva,Latvia,lux,Luxembourg,2,0
2009-04-01,Nashville,usa,USA,tri,Trinidad and Tobago,3,0
2009-04-01,Budapest,hun,Hungary,mlt,Malta,3,0
2009-04-01,Santiago De Chile,chi,Chile,uru,Uruguay,0,0
2009-04-01,Vaduz,lie,Liechtenstein,rus,Russia,0,1
2009-04-01,San Pedro Sula,hon,Honduras,mex,Mexico,3,1
2009-04-01,Belfast,nir,Northern Ireland,svn,Slovenia,1,0
2009-04-01,Cardiff,wal,Wales,ger,Germany,0,2
2009-04-01,Glasgow,sco,Scotland,isl,Iceland,2,1
2009-04-01,Sydney,aus,Australia,uzb,Uzbekistan,2,0
2009-04-01,Seoul,kor,Korea Republic,prk,Korea DPR,1,0
2009-04-01,Tibas,crc,Costa Rica,slv,El Salvador,1,0
2009-04-01,London,eng,England,ukr,Ukraine,2,1
2009-04-01,Copenhagen,den,Denmark,alb,Albania,3,0
2009-04-01,Almaty,kaz,Kazakhstan,blr,Belarus,1,5
2009-04-01,Andorra La Vella,and,Andorra,cro,Croatia,0,2
2009-04-01,Klagenfurt,aut,Austria,rou,Romania,2,1
2009-04-01,Kielce,pol,Poland,smr,San Marino,10,0
2009-04-01,Prague,cze,Czech Republic,svk,Slovakia,1,2
2009-04-01,Geneva,sui,Switzerland,mda,Moldova,2,0
2009-04-01,Riyadh,ksa,Saudi Arabia,uae,United Arab Emirates,3,2
2009-04-01,Amsterdam,ned,Netherlands,mkd,FYR Macedonia,4,0
2009-04-01,Zenica,bih,Bosnia and Herzegovina,bel,Belgium,2,1
2009-04-01,Bari,ita,Italy,irl,Republic of Ireland,1,1
2009-04-01,Saint-Denis,fra,France,ltu,Lithuania,1,0
2009-04-01,Tbilisi,geo,Georgia,mne,Montenegro,0,0
2009-04-01,Istanbul,tur,Turkey,esp,Spain,1,2
2009-04-01,Heraklion,gre,Greece,isr,Israel,2,1
2009-04-01,Porto Alegre,bra,Brazil,per,Peru,3,0
2009-04-04,Dundo,ang,Angola,nam,Namibia,0,0
2009-04-04,Colombo,sri,Sri Lanka,bru,Brunei Darussalam,5,1
2009-04-04,Colombo,pak,Pakistan,tpe,Chinese Taipei,1,1
2009-04-06,Colombo,bru,Brunei Darussalam,pak,Pakistan,0,6
2009-04-06,Colombo,sri,Sri Lanka,tpe,Chinese Taipei,2,1
2009-04-07,Macau,mac,Macau,mng,Mongolia,2,0
2009-04-08,Colombo,tpe,Chinese Taipei,bru,Brunei Darussalam,5,0
2009-04-08,Colombo,sri,Sri Lanka,pak,Pakistan,2,2
2009-04-14,Ulaan-Baatar,mng,Mongolia,mac,Macau,3,1
2009-04-14,Male,mdv,Maldives,tkm,Turkmenistan,1,3
2009-04-14,Male,phi,Philippines,bhu,Bhutan,1,0
2009-04-16,Male,mdv,Maldives,phi,Philippines,3,2
2009-04-16,Male,tkm,Turkmenistan,bhu,Bhutan,7,0
2009-04-18,Male,tkm,Turkmenistan,phi,Philippines,5,0
2009-04-18,Male,mdv,Maldives,bhu,Bhutan,5,0
2009-04-25,Bamako,mli,Mali,eqg,Equatorial Guinea,3,0
2009-04-26,Dhaka,mya,Myanmar,mac,Macau,4,0
2009-04-26,Dhaka,ban,Bangladesh,cam,Cambodia,1,0
2009-04-28,Dhaka,mac,Macau,cam,Cambodia,1,2
2009-04-28,Dhaka,ban,Bangladesh,mya,Myanmar,1,2
2009-04-30,Dhaka,mya,Myanmar,cam,Cambodia,1,0
2009-04-30,Dhaka,ban,Bangladesh,mac,Macau,3,0
2009-05-09,Dar Es Salaam,tan,Tanzania,cod,Congo DR,0,2
2009-05-13,San Cristobal,ven,Venezuela,crc,Costa Rica,1,1
2009-05-13,Amman,jor,Jordan,zim,Zimbabwe,2,0
2009-05-20,Santa Fe,arg,Argentina,pan,Panama,3,1
2009-05-23,Fort Lauderdale,jam,Jamaica,hai,Haiti,2,2
2009-05-26,Doha,qat,Qatar,ksa,Saudi Arabia,2,1
2009-05-27,Osaka,jpn,Japan,chi,Chile,4,0
2009-05-27,Los Angeles,ecu,Ecuador,slv,El Salvador,1,3
2009-05-28,Rades,tun,Tunisia,sdn,Sudan,4,0
2009-05-29,Shanghai,chn,China PR,ger,Germany,1,1
2009-05-29,Chiba,bel,Belgium,chi,Chile,1,1
2009-05-29,Llanelli,wal,Wales,est,Estonia,1,0
2009-05-29,London,irl,Republic of Ireland,nga,Nigeria,1,1
2009-05-30,Muscat,oma,Oman,egy,Egypt,0,1
2009-05-30,Blantyre,mwi,Malawi,rwa,Rwanda,2,0
2009-05-30,Washington Dc,jam,Jamaica,slv,El Salvador,0,0
2009-05-30,Larnaca,cyp,Cyprus,can,Canada,0,1
2009-05-31,Tokyo,jpn,Japan,bel,Belgium,4,0
2009-05-31,Tamale,gha,Ghana,uga,Uganda,2,1
2009-05-31,Kuwait City,kuw,Kuwait,vie,Vietnam,0,1
2009-06-01,Tashkent,uzb,Uzbekistan,bih,Bosnia and Herzegovina,0,0
2009-06-01,Qinhuangdao,chn,China PR,irn,Iran,1,0
2009-06-02,Dubai,uae,United Arab Emirates,ger,Germany,2,7
2009-06-02,Kayseri,tur,Turkey,aze,Azerbaijan,2,0
2009-06-02,Saint-Etienne,fra,France,nga,Nigeria,0,1
2009-06-03,Dar Es Salaam,tan,Tanzania,nzl,New Zealand,2,1
2009-06-03,Riffa,bhr,Bahrain,jor,Jordan,4,0
2009-06-03,Paramaribo,atg,Antigua and Barbuda,guy,Guyana,2,1
2009-06-03,Tibas,crc,Costa Rica,usa,USA,3,1
2009-06-04,Tianjin,chn,China PR,ksa,Saudi Arabia,1,4
2009-06-05,Jablonec,cze,Czech Republic,mlt,Malta,1,0
2009-06-05,Lyon,fra,France,tur,Turkey,1,0
2009-06-06,Johannesburg,rsa,South Africa,pol,Poland,1,0
2009-06-06,Gaborone,bot,Botswana,nzl,New Zealand,0,0
2009-06-06,Tallinn,est,Estonia,eqg,Equatorial Guinea,3,0
2009-06-06,Chililabombwe,zam,Zambia,rwa,Rwanda,1,0
2009-06-06,Blantyre,mwi,Malawi,bfa,Burkina Faso,0,1
2009-06-06,Windhoek,nam,Namibia,cod,Congo DR,4,0
